,Website,Total Img Count,Optimized Img Count,Actual Bytes,Transferred Bytes,q-75,q-70,q-50,q-30,q-10
155,y2mate.com,3.0,3.0,701785.0,257741.0,243097.0,242633.0,240681.0,239299.0,237205.0
156,people.com,109.0,93.0,12176112.0,4219797.0,4117354.0,4114198.0,4103996.0,4081257.0,4020287.0
157,ivi.ru,83.0,60.0,11375602.0,4237530.0,2735681.0,2707439.0,2585709.0,2448727.0,2303789.0
158,wikipedia.org,3.0,2.0,117136.0,75681.0,49987.0,49355.0,46789.0,44595.0,41659.0
159,kemdikbud.go.id,13.0,12.0,3111205.0,2842474.0,535834.0,512432.0,433758.0,354714.0,272594.0
160,lichess.org,4.0,3.0,383822.0,223440.0,179251.0,177747.0,171507.0,165727.0,159180.0
161,study.com,57.0,33.0,2992063.0,1461402.0,853310.0,838078.0,787270.0,737536.0,688006.0
162,blogger.com,44.0,44.0,1624103.0,1409127.0,608054.0,593886.0,546416.0,492413.0,433069.0
163,oracle.com,30.0,14.0,4771483.0,1816482.0,1609142.0,1598992.0,1562538.0,1531216.0,1503056.0
164,speedtest.net,23.0,16.0,6472311.0,2234878.0,2095911.0,2094059.0,2088915.0,2083959.0,2079973.0
165,hurriyet.com.tr,49.0,24.0,6090076.0,2019728.0,1944953.0,1935157.0,1896877.0,1854239.0,1815787.0
166,qoo10.sg,78.0,76.0,6197425.0,4439692.0,1721276.0,1673680.0,1513516.0,1332586.0,1133541.0
167,olymptrade.com,29.0,20.0,4758731.0,1658264.0,1615637.0,1613613.0,1604013.0,1585693.0,1574617.0
168,gotowebinar.com,53.0,30.0,5133265.0,2303410.0,1879037.0,1867443.0,1828201.0,1787039.0,1746645.0
169,google.co.uk,20.0,3.0,1685267.0,697206.0,697072.0,697074.0,697008.0,695138.0,688634.0
170,google.com,20.0,3.0,1505040.0,523013.0,522889.0,522891.0,522825.0,521202.0,514698.0
